,YEAR,MONTH,ORIGIN_AIRPORT_ID,count,Description,IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
0,2018,1,10140,1253,"Albuquerque, NM: Albuquerque International Sunport",ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
1,2018,1,10299,1207,"Anchorage, AK: Ted Stevens Anchorage International",ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
2,2018,1,10397,25045,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
3,2018,1,10423,4183,"Austin, TX: Austin - Bergstrom International",AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
5,2018,1,10529,1842,"Hartford, CT: Bradley International",BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
6,2018,1,10693,4020,"Nashville, TN: Nashville International",BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
7,2018,1,10721,9915,"Boston, MA: Logan International",BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
8,2018,1,10792,1189,"Buffalo, NY: Buffalo Niagara International",BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667
9,2018,1,10800,1822,"Burbank, CA: Bob Hope",BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969
10,2018,1,10821,7997,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
11,2018,1,11042,2027,"Cleveland, OH: Cleveland-Hopkins International",CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
12,2018,1,11057,8774,"Charlotte, NC: Charlotte Douglas International",CLT,Charlotte Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
13,2018,1,11066,1439,"Columbus, OH: John Glenn Columbus International",CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
14,2018,1,11193,1404,"Cincinnati, OH: Cincinnati/Northern Kentucky International",CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725
15,2018,1,11259,5548,"Dallas, TX: Dallas Love Field",DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222
16,2018,1,11278,5454,"Washington, DC: Ronald Reagan Washington National",DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
17,2018,1,11292,13958,"Denver, CO: Denver International",DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
18,2018,1,11298,13295,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
19,2018,1,11433,6383,"Detroit, MI: Detroit Metro Wayne County",DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
20,2018,1,11618,7271,"Newark, NJ: Newark Liberty International",EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
21,2018,1,11697,8369,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275
23,2018,1,12173,3875,"Honolulu, HI: Daniel K Inouye International",HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072
24,2018,1,12191,4547,"Houston, TX: William P Hobby",HOU,William P X,Houston,TX,USA,29.64541861,-95.27888889
25,2018,1,12264,2495,"Washington, DC: Washington Dulles International",IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
26,2018,1,12266,6315,"Houston, TX: George Bush Intercontinental/Houston",IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
27,2018,1,12339,1926,"Indianapolis, IN: Indianapolis International",IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
28,2018,1,12451,1354,"Jacksonville, FL: Jacksonville International",JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111
29,2018,1,12478,7119,"New York, NY: John F. Kennedy International",JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
30,2018,1,12758,1166,"Kona, HI: Ellison Onizuka Kona International at Keahole",KOA,Kona International At Keahole,Kailua Kona,HI,USA,19.73876583,-156.0456314
31,2018,1,12889,12462,"Las Vegas, NV: McCarran International",LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333
32,2018,1,12892,13640,"Los Angeles, CA: Los Angeles International",LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
33,2018,1,12953,6196,"New York, NY: LaGuardia",LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
34,2018,1,12954,1295,"Long Beach, CA: Long Beach Airport",LGB,Long Beach (Daugherty ),Long Beach,CA,USA,33.81772222,-118.1516111
35,2018,1,12982,1133,"Lihue, HI: Lihue Airport",LIH,Lihue,Lihue,HI,USA,21.97598306,-159.3389581
36,2018,1,13198,3327,"Kansas City, MO: Kansas City International",MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
37,2018,1,13204,11565,"Orlando, FL: Orlando International",MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
38,2018,1,13232,6520,"Chicago, IL: Chicago Midway International",MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444
39,2018,1,13303,5923,"Miami, FL: Miami International",MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556
40,2018,1,13342,1827,"Milwaukee, WI: General Mitchell International",MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333
41,2018,1,13487,6788,"Minneapolis, MN: Minneapolis-St Paul International",MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
42,2018,1,13495,4121,"New Orleans, LA: Louis Armstrong New Orleans International",MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778
43,2018,1,13796,4141,"Oakland, CA: Metropolitan Oakland International",OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167
44,2018,1,13830,2010,"Kahului, HI: Kahului Airport",OGG,Kahului,Kahului,HI,USA,20.89864972,-156.4304578
45,2018,1,13871,1073,"Omaha, NE: Eppley Airfield",OMA,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306
46,2018,1,13891,1507,"Ontario, CA: Ontario International",ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944
47,2018,1,13930,12227,"Chicago, IL: Chicago O'Hare International",ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
48,2018,1,14027,2446,"West Palm Beach/Palm Beach, FL: Palm Beach International",PBI,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417
49,2018,1,14057,4127,"Portland, OR: Portland International",PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
50,2018,1,14100,6088,"Philadelphia, PA: Philadelphia International",PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
51,2018,1,14107,11712,"Phoenix, AZ: Phoenix Sky Harbor International",PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
52,2018,1,14122,2176,"Pittsburgh, PA: Pittsburgh International",PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083
53,2018,1,14307,1107,"Providence, RI: Theodore Francis Green State",PVD,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111
54,2018,1,14492,2905,"Raleigh/Durham, NC: Raleigh-Durham International",RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
55,2018,1,14570,1090,"Reno, NV: Reno/Tahoe International",RNO,Reno Tahoe International,Reno,NV,USA,39.49857611,-119.7680647
56,2018,1,14635,3556,"Fort Myers, FL: Southwest Florida International",RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
57,2018,1,14679,6095,"San Diego, CA: San Diego International",SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567
58,2018,1,14683,2763,"San Antonio, TX: San Antonio International",SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778
59,2018,1,14747,9001,"Seattle, WA: Seattle/Tacoma International",SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131
